#meta,version,1
#meta,holidays,2026-12-23,2026-12-25,2026-12-26
taskId,taskName,parentTaskId,status,startDate,endDate,assignee,priority,project,category,description,displayOrder
XP-001,会場準備,,done,2026-11-01,2026-11-20,山田,high,クリスマスパーティ2026,会場,会場の候補選定・予約・下見を行う,1
XP-002,会場リサーチ,XP-001,done,2026-11-01,2026-11-07,山田,high,クリスマスパーティ2026,会場,候補会場3件をリストアップ,2
XP-003,会場予約確定,XP-001,done,2026-11-08,2026-11-15,山田,critical,クリスマスパーティ2026,会場,予約手続きと内金支払い,3
XP-004,会場下見・打合せ,XP-001,done,2026-11-16,2026-11-20,山田,medium,クリスマスパーティ2026,会場,レイアウト確認と設備チェック,4
XP-005,招待・参加管理,,inProgress,2026-11-10,2026-12-10,佐藤,high,クリスマスパーティ2026,招待,招待状の作成・送付・出欠管理,5
XP-006,招待リスト作成,XP-005,done,2026-11-10,2026-11-14,佐藤,high,クリスマスパーティ2026,招待,参加候補者50名をリストアップ,6
XP-007,招待状デザイン・送付,XP-005,done,2026-11-15,2026-11-22,佐藤,medium,クリスマスパーティ2026,招待,デザイン作成とメール一斉送信,7
XP-008,出欠確認・リマインド,XP-005,inProgress,2026-11-23,2026-12-10,佐藤,high,クリスマスパーティ2026,招待,未回答者へのフォローアップ,8
XP-009,飲食手配,,inProgress,2026-11-20,2026-12-18,鈴木,critical,クリスマスパーティ2026,飲食,ケータリング・ケーキ・ドリンクの手配,9
XP-010,ケータリング選定・発注,XP-009,done,2026-11-20,2026-12-01,鈴木,critical,クリスマスパーティ2026,飲食,メニュー決定とアレルギー対応確認,10
XP-011,クリスマスケーキ予約,XP-009,inProgress,2026-12-01,2026-12-10,鈴木,high,クリスマスパーティ2026,飲食,特注ケーキのデザイン・予約,11
XP-012,ドリンク・備品買い出し,XP-009,todo,2026-12-15,2026-12-18,鈴木,medium,クリスマスパーティ2026,飲食,ワイン・ソフトドリンク・紙皿等,12
XP-013,装飾・演出,,todo,2026-12-01,2026-12-20,田中,high,クリスマスパーティ2026,装飾,会場デコレーションと演出企画,13
XP-014,装飾品購入,XP-013,inProgress,2026-12-01,2026-12-10,田中,medium,クリスマスパーティ2026,装飾,ツリー・オーナメント・照明の購入,14
XP-015,BGM・照明プラン作成,XP-013,todo,2026-12-08,2026-12-15,田中,low,クリスマスパーティ2026,装飾,プレイリスト作成と照明演出計画,15
XP-016,会場設営,XP-013,todo,2026-12-19,2026-12-20,田中,high,クリスマスパーティ2026,装飾,当日前日の飾り付けとリハーサル,16
XP-017,プレゼント交換企画,,todo,2026-12-05,2026-12-22,中村,medium,クリスマスパーティ2026,企画,プレゼント交換のルール策定と準備,17
XP-018,ルール決定・案内,XP-017,todo,2026-12-05,2026-12-10,中村,medium,クリスマスパーティ2026,企画,予算・ルールを決めて参加者に案内,18
XP-019,サンタ衣装・景品手配,XP-017,todo,2026-12-10,2026-12-22,中村,low,クリスマスパーティ2026,企画,サンタ衣装レンタルと景品購入,19
XP-020,当日運営,,todo,2026-12-22,2026-12-24,山田,critical,クリスマスパーティ2026,運営,パーティ当日のタイムライン管理,20
XP-021,最終確認・リハーサル,XP-020,todo,2026-12-22,2026-12-23,山田,high,クリスマスパーティ2026,運営,全体段取りの最終チェック,21
XP-022,パーティ本番,XP-020,todo,2026-12-24,2026-12-24,山田,critical,クリスマスパーティ2026,運営,クリスマスイブ本番!,22
